趟次,场景,场景名称,区间序号,区间,选定等级,规划用时(s),生成曲线用时(s),曲线与规划时间差(s),重量(t),代码规划能耗(kWh),Simu物理机械能耗(kWh),Simu-代码(kWh),Simu相对代码误差(%)
14,standard_dp,规划后：标准 DP,24,梅堰-永茂路,class3,313.0,313.0,0.0,215.54,29.936790000000002,28.878401116745227,-1.058388883254775,-3.5354120573874983
14,standard_dp,规划后：标准 DP,25,永茂路-镇海大道,class2,141.0,141.0,0.0,215.34,17.1255,17.180214522093657,0.05471452209365779,0.31949153072119235
14,standard_dp,规划后：标准 DP,26,镇海大道-骆驼桥,class2,116.0,116.0,0.0,215.24,20.02891,18.98810356147649,-1.0408064385235107,-5.196520622058368
14,energy_first,规划后：Energy First,1,布政-张家潭,class3,115.0,115.0,0.0,215.24,12.94801,12.909928848727692,-0.03808115127230849,-0.2941081391836158
14,energy_first,规划后：Energy First,2,张家潭-同德路,class1,141.0,141.0,0.0,215.24,17.87687,16.54448961359441,-1.332380386405589,-7.453096579018526
14,energy_first,规划后：Energy First,3,同德路-石碶,class3,109.0,108.95,-0.04999999999999716,215.24,13.10016,13.023890911529268,-0.07626908847073288,-0.5821996713836539
14,energy_first,规划后：Energy First,4,石碶-雅渡,class2,80.0,80.0,0.0,215.54,11.09226,10.763814842987147,-0.3284451570128528,-2.961030096777869
14,energy_first,规划后：Energy First,5,雅渡-庙堰,class2,129.0,129.0,0.0,215.54,20.51991,20.781455671879897,0.2615456718798974,1.2745946345763572
14,energy_first,规划后：Energy First,6,庙堰-钟公庙,class3,96.0,95.95,-0.04999999999999716,215.74,12.519129999999999,12.74863516655879,0.22950516655879127,1.8332357484808552
14,energy_first,规划后：Energy First,7,钟公庙-鄞州区政府,class3,90.0,90.0,0.0,215.54,10.33192,11.148000931854877,0.8160809318548772,7.898637734853514
14,energy_first,规划后：Energy First,8,鄞州区政府-钱湖南路,class2,128.0,127.95,-0.04999999999999716,216.62,18.6425,17.707008471406166,-0.9354915285938326,-5.018058353728485
14,energy_first,规划后：Energy First,9,钱湖南路-南高教园区,class3,100.0,100.05,0.04999999999999716,216.82,13.71493,14.031351085607819,0.3164210856078178,2.307128695573494
14,energy_first,规划后：Energy First,10,南高教园区-下应路,class2,110.0,110.0,0.0,217.02,21.00755,19.98991128629789,-1.0176387137021088,-4.844157046881283
14,energy_first,规划后：Energy First,11,下应路-大洋江,class2,101.0,101.0,0.0,216.74,13.4118,13.583186917721429,0.17138691772142955,1.2778815499890361
14,energy_first,规划后：Energy First,12,大洋江-泗港,class3,92.0,92.0,0.0,216.94,10.82069,11.219165696574134,0.39847569657413295,3.6825350007636564
14,energy_first,规划后：Energy First,13,泗港-曹隘,class4,137.0,137.0,0.0,216.92,23.07768,23.862383800332506,0.7847038003325046,3.4002716058655147
14,energy_first,规划后：Energy First,14,曹隘-柳隘,class3,108.0,108.0,0.0,216.82,19.97723,21.02319404687477,1.0459640468747722,5.235781171237315
14,energy_first,规划后：Energy First,15,柳隘-海晏北路,class3,92.0,91.95,-0.04999999999999716,216.94,11.55291,11.823575858826189,0.2706658588261881,2.342837075907179
